,prompt,classes,answer_idx,prompt_in_front,binarized,body,Q_id,source_dataset
78,"I could see nothing in the future to be hopeful about. In the past week, how much has the previous statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day.","['A', 'B', 'C', 'D']",0,0,0,0,Q37,dass
79,"I felt that life was meaningless. In the past week, how much has the previous statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day.","['A', 'B', 'C', 'D']",0,0,0,0,Q38,dass
80,"I found myself getting agitated. In the past week, how much has the previous statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day.","['A', 'B', 'C', 'D']",0,0,0,0,Q39,dass
81,"I was worried about situations in which I might panic and make a fool of myself. In the past week, how much has the previous statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day.","['A', 'B', 'C', 'D']",0,0,0,0,Q40,dass
82,"I experienced trembling (eg, in the hands). In the past week, how much has the previous statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day.","['A', 'B', 'C', 'D']",0,0,0,1,Q41,dass
83,"I found it difficult to work up the initiative to do things. In the past week, how much has the previous statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day.","['A', 'B', 'C', 'D']",0,0,0,0,Q42,dass
84,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I found myself getting upset by quite trivial things.","['A', 'B']",0,1,1,0,Q1,dass
85,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I was aware of dryness of my mouth.","['A', 'B']",0,1,1,1,Q2,dass
86,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I couldn't seem to experience any positive feeling at all.","['A', 'B']",0,1,1,0,Q3,dass
87,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I experienced breathing difficulty (eg, excessively rapid breathing, breathlessness in the absence of physical exertion).","['A', 'B']",0,1,1,1,Q4,dass
88,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I just couldn't seem to get going.","['A', 'B']",0,1,1,0,Q5,dass
89,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I tended to over-react to situations.","['A', 'B']",0,1,1,0,Q6,dass
90,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I had a feeling of shakiness (eg, legs going to give way).","['A', 'B']",0,1,1,1,Q7,dass
91,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I found it difficult to relax.","['A', 'B']",0,1,1,0,Q8,dass
92,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I found myself in situations that made me so anxious I was most relieved when they ended.","['A', 'B']",0,1,1,0,Q9,dass
93,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I felt that I had nothing to look forward to.","['A', 'B']",0,1,1,0,Q10,dass
94,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I found myself getting upset rather easily.","['A', 'B']",0,1,1,0,Q11,dass
95,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I felt that I was using a lot of nervous energy.","['A', 'B']",0,1,1,0,Q12,dass
96,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I felt sad and depressed.","['A', 'B']",0,1,1,0,Q13,dass
97,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I found myself getting impatient when I was delayed in any way (eg, elevators, traffic lights, being kept waiting).","['A', 'B']",0,1,1,0,Q14,dass
98,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I had a feeling of faintness.","['A', 'B']",0,1,1,1,Q15,dass
99,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I felt that I had lost interest in just about everything.","['A', 'B']",0,1,1,0,Q16,dass
100,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I felt I wasn't worth much as a person.","['A', 'B']",0,1,1,0,Q17,dass
101,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I felt that I was rather touchy.","['A', 'B']",0,1,1,1,Q18,dass
102,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I perspired noticeably (eg, hands sweaty) in the absence of high temperatures or physical exertion.","['A', 'B']",0,1,1,1,Q19,dass
103,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I felt scared without any good reason.","['A', 'B']",0,1,1,0,Q20,dass
104,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I felt that life wasn't worthwhile.","['A', 'B']",0,1,1,0,Q21,dass
105,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I found it hard to wind down.","['A', 'B']",0,1,1,0,Q22,dass
106,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I had difficulty in swallowing.","['A', 'B']",0,1,1,1,Q23,dass
107,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I couldn't seem to get any enjoyment out of the things I did.","['A', 'B']",0,1,1,0,Q24,dass
108,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I was aware of the action of my heart in the absence of physical exertion (eg, sense of heart rate increase, heart missing a beat).","['A', 'B']",0,1,1,1,Q25,dass
109,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I felt down-hearted and blue.","['A', 'B']",0,1,1,0,Q26,dass
110,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I found that I was very irritable.","['A', 'B']",0,1,1,0,Q27,dass
111,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I felt I was close to panic.","['A', 'B']",0,1,1,0,Q28,dass
112,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I found it hard to calm down after something upset me.","['A', 'B']",0,1,1,0,Q29,dass
113,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I feared that I would be &quot;thrown&quot; by some trivial but unfamiliar task.","['A', 'B']",0,1,1,0,Q30,dass
114,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I was unable to become enthusiastic about anything.","['A', 'B']",0,1,1,0,Q31,dass
115,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I found it difficult to tolerate interruptions to what I was doing.","['A', 'B']",0,1,1,0,Q32,dass
116,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I was in a state of nervous tension.","['A', 'B']",0,1,1,0,Q33,dass
117,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I felt I was pretty worthless.","['A', 'B']",0,1,1,0,Q34,dass
118,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I was intolerant of anything that kept me from getting on with what I was doing.","['A', 'B']",0,1,1,0,Q35,dass
119,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I felt terrified.","['A', 'B']",0,1,1,0,Q36,dass
120,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I could see nothing in the future to be hopeful about.","['A', 'B']",0,1,1,0,Q37,dass
121,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I felt that life was meaningless.","['A', 'B']",0,1,1,0,Q38,dass
122,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I found myself getting agitated.","['A', 'B']",0,1,1,0,Q39,dass
123,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I was worried about situations in which I might panic and make a fool of myself.","['A', 'B']",0,1,1,0,Q40,dass
124,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I experienced trembling (eg, in the hands).","['A', 'B']",0,1,1,1,Q41,dass
125,"In the past week, how much has the following statement applied to you? A: Less than half the days. B: More than half the days. I found it difficult to work up the initiative to do things.","['A', 'B']",0,1,1,0,Q42,dass
126,"I found myself getting upset by quite trivial things. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q1,dass
127,"I was aware of dryness of my mouth. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,1,Q2,dass
128,"I couldn't seem to experience any positive feeling at all. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q3,dass
129,"I experienced breathing difficulty (eg, excessively rapid breathing, breathlessness in the absence of physical exertion). In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,1,Q4,dass
130,"I just couldn't seem to get going. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q5,dass
131,"I tended to over-react to situations. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q6,dass
132,"I had a feeling of shakiness (eg, legs going to give way). In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,1,Q7,dass
133,"I found it difficult to relax. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q8,dass
134,"I found myself in situations that made me so anxious I was most relieved when they ended. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q9,dass
135,"I felt that I had nothing to look forward to. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q10,dass
136,"I found myself getting upset rather easily. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q11,dass
137,"I felt that I was using a lot of nervous energy. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q12,dass
138,"I felt sad and depressed. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q13,dass
139,"I found myself getting impatient when I was delayed in any way (eg, elevators, traffic lights, being kept waiting). In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q14,dass
140,"I had a feeling of faintness. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,1,Q15,dass
141,"I felt that I had lost interest in just about everything. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q16,dass
142,"I felt I wasn't worth much as a person. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q17,dass
143,"I felt that I was rather touchy. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,1,Q18,dass
144,"I perspired noticeably (eg, hands sweaty) in the absence of high temperatures or physical exertion. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,1,Q19,dass
145,"I felt scared without any good reason. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q20,dass
146,"I felt that life wasn't worthwhile. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q21,dass
147,"I found it hard to wind down. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q22,dass
148,"I had difficulty in swallowing. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,1,Q23,dass
149,"I couldn't seem to get any enjoyment out of the things I did. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q24,dass
150,"I was aware of the action of my heart in the absence of physical exertion (eg, sense of heart rate increase, heart missing a beat). In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,1,Q25,dass
151,"I felt down-hearted and blue. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q26,dass
152,"I found that I was very irritable. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q27,dass
153,"I felt I was close to panic. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q28,dass
154,"I found it hard to calm down after something upset me. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q29,dass
155,"I feared that I would be &quot;thrown&quot; by some trivial but unfamiliar task. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q30,dass
156,"I was unable to become enthusiastic about anything. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q31,dass
157,"I found it difficult to tolerate interruptions to what I was doing. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q32,dass
158,"I was in a state of nervous tension. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q33,dass
159,"I felt I was pretty worthless. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q34,dass
160,"I was intolerant of anything that kept me from getting on with what I was doing. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q35,dass
161,"I felt terrified. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q36,dass
162,"I could see nothing in the future to be hopeful about. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q37,dass
163,"I felt that life was meaningless. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q38,dass
164,"I found myself getting agitated. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q39,dass
165,"I was worried about situations in which I might panic and make a fool of myself. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q40,dass
166,"I experienced trembling (eg, in the hands). In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,1,Q41,dass
167,"I found it difficult to work up the initiative to do things. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q42,dass
